langs,fruits,plants,food,vegetables,colors,animals,possession,family,occupation,places,household-items
hi_bn,-0.12572921979539958,-0.05809851735522553,-0.08878733816271986,-0.10938124989489718,0.012104154944419632,0.04826271065129606,-0.08343148020928012,-0.028969095033319098,-0.006459623515734744,-0.1839771645396037,-0.19035266745121449
hi_ta,-0.1265953121214538,0.09348728039475084,-0.1067501890866725,-0.1027861510640777,-0.13898235732433,-0.1054156567147239,-0.08375642870831129,-0.18952688506671506,-0.025993669271329786,0.2016811175625378,-0.11257232855510708
hi_gu,0.0962494540957477,0.29371335135427035,0.07527957231117961,0.06892360632662387,0.15974897453975948,-0.08900382093765234,-0.0025101627333929894,0.04086264008813687,0.012819586297178734,0.20016369834993228,0.0005347384042302637
hi_te,0.04823391384788462,-0.05790329971215099,0.012630817298742738,0.05686761383370948,0.019607117976964083,-0.006152376699932706,0.07178482216095004,-0.2222272090555122,0.013895709059894405,-0.009127476699377728,0.1750271174279424
hi_kn,-0.018791581531995793,-0.14016214984494607,-0.11126510353509977,-0.019589689530267015,-0.11868071865847234,0.08758981281926041,-0.18015812315902252,-0.063651742890745,-0.12904832717308418,-0.11358376027902009,-0.13229551625869457
hi_ml,0.0795507159618114,-0.040392848164765245,-0.022989598397620575,0.06646411546382681,-0.013474873112239332,0.050566297932007204,0.11712036739477677,-0.05964574679206893,0.140335072769872,0.02984518791035381,0.09960009304398379
hi_mr,-0.038775425396379064,0.03300918293505938,-0.11687489962737044,-0.22312430164358113,-0.06458099624708423,-0.09795067438557403,-0.09677856883376043,0.005208912648669914,0.03182708594504851,0.05156316974039686,-0.15925633945735795
bn_ta,0.02702781483129839,-0.03588056440571163,0.10930367633584334,0.04238372816850398,0.017842797391852745,-0.07721910688457596,-0.24495184469968911,-0.14470753515432885,-0.08859402871102826,-0.08916674255647801,-0.032967241166586045
bn_gu,-0.004691940807712495,-0.021730731972675693,0.0670593049497274,-0.08182159127965803,0.07761928508779066,0.06751471114472508,-0.18260089821174674,0.09244858139141529,-0.0906609565777878,-0.10268433697835337,-0.08647588581871705
bn_te,-0.13864436552791257,-0.13633760122172148,-0.10802366766556658,-0.2870341584214573,0.020394616692863854,0.0871220566954725,-0.17433286658957653,0.26847560815016036,-0.2262358220271687,-0.21007051886910558,-0.22639298098925903
bn_kn,0.0020834918441877035,0.07223429384436045,0.05538795091249972,-0.017027367341624935,0.13567819172270953,0.0719684521304093,0.04978063184294348,0.05447668952158226,-0.08208225740812987,-0.10020045068579667,0.028321323338382817
bn_ml,-0.22977281842006392,-0.20490601889715793,-0.21619903325596523,-0.20779752261478715,0.005801857624550419,-0.0023993614146343343,-0.18297895682166657,0.010522349505646844,-0.3054697121473543,-0.13033791279012924,-0.16364113118712598
bn_mr,0.17642626023058994,0.18210498845267584,0.1686782947937814,0.11941712157400801,0.1614258583067741,0.14079897727100477,0.0694314977897573,-0.03693736789300065,0.23187485807977976,-0.012951736303782841,0.06325744905014777
ta_gu,-0.032494999917607806,-0.0033201720459473203,-0.05857592983773652,-0.029703051458503726,-0.08594670037262817,-0.08910335195650744,-0.02472322052625211,-0.10765633193749993,-0.16906155593613667,0.06836391585840254,-0.0015105683814173225
ta_te,-0.06145022567695055,-0.02039396019499494,0.008714171036004366,-0.14456465250920308,0.011327865716669121,-0.02353496356586807,-0.11736766587948567,0.05145831098978415,0.05978345388328354,-0.030527994461139372,-0.09847317777258253
ta_kn,-0.04382004028308231,0.008993123387979127,-0.005456480099674145,-0.021769621550471564,0.11225267267680189,-0.06181216512548648,-0.06450244886368461,-0.09473472799303854,-0.04911987824227493,-0.1009088414706674,-0.03504353867707658
ta_ml,0.2185571842281602,0.1797422663178419,0.12877099933016065,0.175455873890383,-0.049136101386360514,0.08113156174135892,0.2435155074886662,0.20849681055817387,0.21787408564739,-0.06461920302673725,0.18897749347447895
ta_mr,0.09609671267829491,0.013191706256640345,0.18739420778325774,0.13297890271417226,0.173614866837775,0.1266181222824503,0.09949162911185225,0.010623067301569061,0.16772582710496492,0.05859804755378546,0.09843888049983153
gu_te,-0.14747532678356795,-0.20571490292934863,-0.10888348913862204,-0.19053444199169636,-0.13731152908026223,-0.10680876198882887,-0.16284428695737585,0.08263964109352437,0.06784195967382534,-0.11012271436422712,-0.19764857794713414
gu_kn,-0.123354017258483,0.004654061412029724,-0.11056345474472207,0.00892513753274781,-0.008902239642282546,-0.13250721772696036,-0.019915183076421837,-0.3738078765384391,-0.3691157482790725,0.08726918118791555,0.033182977256960886
gu_ml,-0.07581399664262599,-0.15183877106832766,-0.0616714689337197,-0.10860713663346709,-0.13444987298066347,-0.09278900388028395,-0.13648138028698317,0.08602589735552257,0.02422446456464672,0.04704105986318883,-0.1668983758775013
gu_mr,-0.06483755727037767,-0.005971545498210154,-0.045658089997155066,-0.07416634169234575,-0.13202480974287417,-0.011659269173581349,-0.10271061735006035,0.018041751589029167,-0.03766807314565329,0.1800611385475661,0.009586693964369508
