langs,fruits,plants,food,vegetables,colors,animals,possession,family,occupation,places,household-items
hi_bn,-0.06186764379992723,-0.09905577322625889,-0.11938197366297465,-0.11683267171311497,-0.09469162297210841,-0.050491436417000136,-0.0908730070042086,-0.07526477043241864,0.020459098007109034,0.10127427420099518,-0.03137415260150479
hi_ta,-0.07274143114568937,-0.11857609769150806,-0.1833776219534642,-0.23810055810821038,-0.24050295602325422,-0.1994548241749213,-0.19264764454708302,-0.13331588720523097,-0.084436168615134,-0.22186508489664525,-0.22535433906415492
hi_gu,0.1953574015508038,0.13269252106969026,0.19428060313953682,0.32619147827679357,0.22239394290085862,0.20660733709950863,0.26858014009504105,0.16061260535896302,0.10405855241219963,0.11721401935346747,0.0772212758303864
hi_te,-0.10021424180303663,0.01643297893198714,-0.020397051687565997,-0.0558336109131081,-0.0056821716389222204,-0.021640644933782854,-0.14083526317370446,-0.037627125062458064,-0.14290245309661753,-0.15789316228874048,-0.1743581335912286
hi_kn,-0.11271857858118507,-0.010897588417355691,-0.12492350686534007,-0.15095733614642218,-0.11206049947321868,0.010652021808133884,-0.1150809634268671,0.03470576887415261,0.015390274972739662,-0.18641642270448922,-0.05139949795052819
hi_ml,0.10546707071843153,0.03896688330878817,0.09159489739489038,0.09587301439251332,0.0633352037777132,-0.020596959413005902,-0.11294759453583854,-0.009699123546618161,-0.07639007236200068,-0.1797283910730039,0.12835562368629785
hi_mr,-0.020630918083022268,-0.054229909620578894,-0.0446167762587289,-0.03984816522244872,0.07690110678208127,-0.05109554695174092,0.020204919917699647,0.1391588183870922,0.17425690918036263,0.15316338787760692,0.07723628373155228
bn_ta,0.18604673420268406,0.21272992476730418,0.12161295607828293,0.13499798243322542,0.1800767030630463,0.07904224259306575,0.26599329135657135,0.12617216054300334,0.21867706664038342,0.0824813229551433,0.3666648967403436
bn_gu,-0.04449422765248989,-0.07018669398180696,-0.05567467500449018,-0.12413384191403161,-0.016448156662651446,-0.06954960961553805,-0.07118529311874372,-0.09187748265559537,-0.022889872823503875,-0.08971484493521562,-0.020092745900299448
bn_te,-0.0687680215416932,0.18215994226386403,0.12093247817798226,0.16341708724773407,0.2967309370228944,0.18358818761216297,-0.2553098829702333,-0.26837194894351174,-0.23356626237277606,-0.0407961483378815,0.018771750641985323
bn_kn,-0.07147280406888257,-0.06847861167769241,-0.06443890391512581,-0.03754887239683135,-0.1928482760171797,-0.11023577070530942,-0.10971409718977955,-0.13173076546607804,-0.1334591586997779,-0.13761937645630856,0.009086035610773866
bn_ml,-0.03759418179532479,0.02224606353697945,-3.327898661022524e-05,0.010816318012842581,-0.08651912698481312,0.040598367073429224,0.0002625651236097827,0.01814564110944716,0.03189550960856004,0.020705324470230435,-0.0433551279748661
bn_mr,-0.08912167341195885,0.031584480315206595,0.04649788358017794,-0.11476944932953498,-0.04110607707983324,0.09136657700836637,0.0825102987230476,0.041839886329744426,-0.012542307836801804,-0.06241277117386675,0.0206414616724857
ta_gu,-0.07543993438409242,-0.01907001001864695,-0.13170616131481752,-0.1756230820295266,-0.07143652076291322,-0.13328714885041185,-0.3696282237872353,-0.14904947149309491,-0.14068390386949392,-0.0971385343765164,-0.093365171640192
ta_te,-0.037128246042943895,0.14498554761765214,0.021457346422199236,0.1040216201293988,0.08800391079124012,0.028836408492395004,0.01769909310583534,0.027963667528891834,-0.1170458361288916,0.03633035427971337,0.19381650920611318
ta_kn,-0.06355693046009121,-0.020955872052835493,-0.06547921610885064,-0.04955454104735069,0.0009664724358015958,-0.0874788963780339,0.048027855937198514,-0.025539918827833984,0.01016450466401899,0.021368706387153567,0.08030223354932788
ta_ml,0.13000570204458475,0.13238043993325047,0.11441700515819662,0.14640760808059505,0.0698791744282301,0.11543883366954923,0.19052299310633608,0.17686887517641586,0.19389258944396884,0.12399730552205201,0.1810501192610096
ta_mr,-0.005443488814141792,-0.044432002148464544,-0.06179497198783834,0.008592089051646117,-0.11115116816959424,-0.09987035006506943,-0.1967338046697352,-0.07216972509122772,-0.004619215001764248,-0.131090375871979,-0.055040379624340004
gu_te,-0.21326663942059834,0.0449868844060812,-0.20382290039448114,-0.005084471582550686,0.09706783960737136,-0.06526857923326529,0.019773362745335758,0.06892655512164483,0.07959486818583159,-0.04904747163680441,0.042238967979372856
gu_kn,-0.1299120101526721,-0.0573334893749804,-0.1298391350024897,-0.21077030953712192,-0.09023075594258062,-0.11484513060074857,0.058725286941432385,-0.16277749904189046,-0.0581078068268841,-0.007528174996697478,-0.04420840698647209
gu_ml,-0.15974387586860742,-0.25349349030236845,-0.040008446972027434,-0.18277248835598536,-0.2855094167018246,-0.30627318607757065,-0.16534041071454483,-0.1742558782581082,-0.13119308006866526,-0.15372232610917816,-0.2629218906049674
gu_mr,0.157569201807593,0.1792821335096914,0.13381022107644697,0.1475297599499671,0.11535967924730053,0.11257183671396605,0.0003898676992230288,0.029642579786922106,-0.053742265738388965,0.04905866117416845,0.33204161618403993
te_kn,0.13457102933352305,-0.15877553848896137,0.10785874841058665,-0.13082244473705829,-0.18223409509936062,-0.08241346779647929,0.1438059356340064,-0.019334907417598392,0.10423694513944885,0.12724167583530083,0.014357010718939377
te_ml,0.05477681025816209,-0.043199189293245906,-0.035431501770115024,-0.005836945844432291,0.01640380611244735,0.03053089920429172,0.023877324748243164,-0.09452377818099794,-0.02573418775853488,0.077313736205382,0.04252535820841477
te_mr,-0.032523392711310134,0.13076319069514275,0.029564307873713183,0.13225947022080767,0.1230632752048757,0.096523068195345,-0.3395709688876093,-0.13496600869724623,-0.13838522530424543,-0.01615173257031442,0.13804326174268583
kn_ml,-0.032481277781519526,-0.029157820166139894,-0.10680929881083093,-0.0061917534412314545,0.10915984687979766,-0.051002871160594286,-0.030893418773738714,0.036057572093144676,-0.061039611633100135,0.020851511057248518,0.004860410400832243
kn_mr,-0.023387256355322617,-0.09772656733572507,-0.11110652971576812,0.04070482832715264,-0.11081898744740347,-0.11191205699377059,-0.20607020744650098,-0.05512739858723385,-0.05235702307334008,0.006399188306929477,-0.057634161095880244
ml_mr,-0.29367105405805755,-0.08638354036487537,-0.19648605071157876,-0.3199505738642352,-0.10486370050701442,-0.142359607772369,-0.056777028586952105,0.02665872812928673,0.037124757440438604,-0.037842573818511666,-0.2758000974039647
