langs,fruits,plants,food,vegetables,colors,animals,possession,family,occupation,places,household-items
hi_bn,-0.02813418358564377,-0.007316687423735857,-0.0370806522667408,-0.031057298377466697,-0.01334529435262084,0.02665943093597889,0.0026311348658055065,-0.038965925962353744,-0.00480042127892375,0.02083371556364,-0.08019292950630189
hi_ta,0.04546099146828055,0.05661435350775719,0.03362011611461639,0.12677832196156183,0.0812184114009142,-0.0241591963917017,0.004708111053332686,0.04980754805728793,-0.008691687509417534,-0.12378957774490118,0.058285242319107054
hi_gu,0.025694352202117444,-0.04319434091448784,-0.012761930655688047,-0.04191554011777043,-0.06898092329502106,-0.007060772133991122,-0.001995351165533066,0.1093750538614889,0.033257403131574395,0.011568804504349828,-0.06165101006627083
hi_te,0.08657577186822892,0.06869539022445678,0.062319622933864595,0.08030338026583195,0.09274848029017449,0.013629363384097815,0.03765504360198975,-0.07584530580788851,-0.058854802325367925,0.06538617410114966,0.07546017728745938
hi_kn,-0.14658939987421035,-0.08615982979536056,-0.10918365616817027,-0.1397878291706244,-0.07260645925998688,-0.11080889627337456,0.013412244059145451,-0.06264675001148134,-0.09681176692247391,-0.09782419126713648,-0.06005534753203392
hi_ml,0.0762245699763298,0.043307150295004246,0.022841024585068224,0.07067142939195037,-0.0895614318549633,-0.0761211633682251,-0.016927850618958473,-0.005787087604403496,-0.0647180736064911,-0.09860704839229584,0.004752353020012379
hi_mr,0.01787802167236805,0.11105058342218399,-0.06112010860815644,-0.08133038723220427,-0.0283830632455647,0.08824878819286823,-0.0015709942672401667,-0.027412215868632,-0.05097030214965344,-0.009551104805723298,-0.057480386644601825
bn_ta,0.03025370854884386,0.049211404472589496,-0.005502315307967365,0.03739070659503341,0.02784661091864109,-0.0263449614867568,0.045811626687645914,0.048981295277674995,0.028484097123146056,0.03451591210614424,0.04349818415939808
bn_gu,0.24029287993907927,0.20054801404476166,0.22013901472091674,0.20224615186452866,0.22141205370426179,0.2112195074558258,0.17180080115795135,0.17713695019483566,0.191194024682045,0.20420257560908794,0.21255444288253783
bn_te,0.056867218017578124,0.10797668993473053,0.1127720519900322,0.11969092915145059,0.12587702721357347,0.13207756727933884,0.10853466242551804,0.0877534846464793,0.09852909669280052,0.08113504736684263,0.09915305525064469
bn_kn,-0.040182217955589294,-0.03255747500807047,-0.017195158544927834,-0.04446749451259772,-0.019051528349518777,-0.02313518263399601,-0.04288607928901911,-0.03908576009174188,-0.04130513509735465,-0.040633001015521586,-0.03750993674620986
